Q0,author=mcgill
Q1,"year=2020,title=Tragedy,genre=Tragedy,author=eng"
Q2,year=2020
Q3,"author=2020,genre=eng"
Q4,"year=mcgill,language=mcgill"
Q5,"genre=mcgill,author=2020,language=eng"
Q6,"year=Tragedy,title=The Tempest,author=2020,genre=Tragedy"
Q7,"language=The Tempest,title=The Tempest,year=The Tempest"
Q8,title=mcgill
Q9,"author=2020,language=eng,year=2020,title=Tragedy,genre=2020"
Q10,"author=Tragedy,year=Tragedy,title=2020,language=2020,genre=eng"
Q11,"genre=mcgill,title=The Tempest,year=eng,author=The Tempest,language=2020"
Q12,title=mcgill
Q13,title=The Tempest
Q14,author=mcgill
Q15,"title=The Tempest,genre=The Tempest,year=2020,author=2020"
Q16,"title=The Tempest,year=mcgill,genre=The Tempest,author=mcgill"
Q17,"title=Tragedy,language=2020,year=mcgill,genre=Tragedy,author=The Tempest"
Q18,title=eng
Q19,"title=2020,year=Tragedy,genre=eng,author=Tragedy"
Q20,"author=mcgill,title=The Tempest"
Q21,"author=mcgill,year=The Tempest,genre=Tragedy"
Q22,author=eng
Q23,"language=mcgill,author=Tragedy,genre=Tragedy,year=2020,title=The Tempest"
Q24,"year=eng,title=eng"
Q25,"language=2020,author=Tragedy,title=mcgill,year=eng,genre=eng"
Q26,author=eng
Q27,language=The Tempest
Q28,"author=2020,genre=eng,title=Tragedy,language=The Tempest"
Q29,"year=2020,title=eng,language=mcgill,genre=The Tempest"
Q30,"year=The Tempest,genre=mcgill"
Q31,"author=mcgill,year=eng"
Q32,year=eng
Q33,"author=2020,language=2020,year=mcgill,title=mcgill,genre=2020"
Q34,"year=mcgill,language=eng,title=Tragedy,author=Tragedy,genre=2020"
Q35,language=eng
Q36,"author=The Tempest,title=mcgill,year=Tragedy,genre=mcgill,language=Tragedy"
Q37,"genre=mcgill,author=2020,language=Tragedy,year=Tragedy,title=Tragedy"
Q38,"title=mcgill,language=2020,genre=2020"
Q39,"author=Tragedy,genre=mcgill"
Q40,"author=mcgill,genre=2020,language=mcgill"
Q41,"genre=2020,author=eng,year=mcgill"
Q42,"genre=2020,author=2020"
Q43,"genre=2020,title=2020,year=mcgill,language=The Tempest"
Q44,"title=Tragedy,year=eng,language=The Tempest"
Q45,"year=mcgill,title=Tragedy,genre=2020"
Q46,"year=Tragedy,title=The Tempest,author=Tragedy,genre=mcgill,language=2020"
Q47,"genre=Tragedy,title=2020,language=2020,year=2020,author=mcgill"
Q48,"author=mcgill,title=eng,year=eng,genre=mcgill,language=The Tempest"
Q49,language=Tragedy
Q50,"language=eng,year=2020"
Q51,"genre=eng,author=2020,language=The Tempest,year=mcgill,title=eng"
Q52,"year=eng,title=mcgill,genre=Tragedy,language=2020"
Q53,"title=2020,language=mcgill,author=The Tempest"
Q54,"language=eng,genre=mcgill,author=mcgill"
Q55,"author=mcgill,title=eng,language=mcgill,year=The Tempest,genre=mcgill"
Q56,"title=The Tempest,language=Tragedy,author=The Tempest"
Q57,"year=The Tempest,author=The Tempest"
Q58,genre=eng
Q59,"title=2020,author=2020"
Q60,"genre=eng,year=eng,language=The Tempest"
Q61,author=Tragedy
Q62,"year=mcgill,language=The Tempest,genre=Tragedy,title=The Tempest"
Q63,author=The Tempest
Q64,"year=2020,language=Tragedy,author=2020,title=mcgill,genre=Tragedy"
Q65,language=Tragedy
Q66,"language=The Tempest,author=eng,genre=The Tempest,title=eng"
